車種名,モデル,グレード,支払総額,年式,走行距離,修復歴,ミッション,排気量,取得日時,ソースURL
RC,情報なし,300h バージョンL BSM　黒革シート　レーダークルーズ,259.3万円,2015(H27),6.8万km,なし,フロアCVT,2500CC,2025-06-17T12:21:51.295013,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300h Fスポーツ マクレビ SR 三眼LED 寒冷地仕様　純正ナビ,449.8万円,2020(R02),4.3万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:21:51.296064,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300 Fスポーツ プリクラッシュセーフティ　3眼LEDヘッドラ,239万円,2018(H30),11.6万km,なし,フロアMTモード付8AT,2000CC,2025-06-17T12:21:51.297012,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300 Fスポーツ 3眼LED 本革エアシート レーダークルコン,319万円,2018(H30),8万km,なし,フロアMTモード付8AT,2000CC,2025-06-17T12:21:51.299006,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,350 バージョンL 衝突軽減 10型ナビ 三眼LED サンルーフ BSM,641.1万円,2024(R06),1.1万km,なし,フロア8AT,3500CC,2025-06-17T12:21:51.300507,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300 Fスポーツ 新品タイヤ/HDDナビ/衝突安全装置,332.6万円,2018(H30),3.9万km,なし,フロアMTモード付8AT,2000CC,2025-06-17T12:21:51.301506,https://www.carsensor.net/usedcar/bLE/s015/index3.html
RC,情報なし,300h Fスポーツ 純正7型ナビ/クルコン/ダウンサス/BSM/ETC,299.8万円,2016(H28),7.6万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:21:53.406126,https://www.carsensor.net/usedcar/bLE/s015/index4.html
RC,情報なし,300h Fスポーツ ナビ TV Bカメラ BT ETC クルコン BSM,338万円,2015(H27),1.2万km,あり,フロアMTモード付CVT,2500CC,2025-06-17T12:21:53.407123,https://www.carsensor.net/usedcar/bLE/s015/index4.html
RC,情報なし,350 Fスポーツ 1オーナー・禁煙車・マークレビンソン,475万円,2019(R01),2.9万km,なし,フロアMTモード付8AT,3500CC,2025-06-17T12:21:53.407123,https://www.carsensor.net/usedcar/bLE/s015/index4.html
RC,情報なし,300h Fスポーツ サンルーフ 三眼LEDヘッドライト BSM,409万円,2019(H31),7.9万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:21:53.409704,https://www.carsensor.net/usedcar/bLE/s015/index4.html
RC,情報なし,300h Fスポーツ 純正ナビ/ドライビングポジション設定,324.8万円,2015(H27),4.8万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:21:53.410702,https://www.carsensor.net/usedcar/bLE/s015/index4.html
RC,情報なし,300h Fスポーツ ドライブレコーダー　三眼LEDヘッドライト,490万円,2022(R04),5.2万km,なし,フロアMTモード付CVT,2500CC,2025-06-17T12:21:53.411701,https://www.carsensor.net/usedcar/bLE/s015/index4.html
RC,情報なし,350 バージョンL 本革シート サンルーフ,307.5万円,2015(H27),6.2万km,なし,フロアMTモード付8AT,3500CC,2025-06-17T12:21:53.412698,https://www.carsensor.net/usedcar/bLE/s015/index4.html
